budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
2000000.0,2012-09-06,0.0,Greystone Park,9,2012,R,Fall,Horror,-2000000.0,Ella Lentini,actress,"[""Antonella""]"
11000000.0,2012-02-10,0.0,LOL,2,2012,PG-13,Winter,Drama,-11000000.0,Demi Moore,actress,"[""Anne""]"
11000000.0,2012-02-10,0.0,LOL,2,2012,PG-13,Winter,Drama,-11000000.0,Ashley Greene,actress,"[""Ashley""]"
11000000.0,2012-02-10,0.0,LOL,2,2012,PG-13,Winter,Drama,-11000000.0,Miley Cyrus,actress,"[""Lola""]"
11000000.0,2012-02-10,0.0,LOL,2,2012,PG-13,Winter,Drama,-11000000.0,Douglas Booth,actor,"[""Kyle""]"
6000000.0,2011-04-02,0.0,The Hit List,4,2011,R,Spring,Action,-6000000.0,Jonathan LaPaglia,actor,"[""Detective Neil McKay""]"
6000000.0,2011-04-02,0.0,The Hit List,4,2011,R,Spring,Action,-6000000.0,Cole Hauser,actor,"[""Allan Campbell""]"
6000000.0,2011-04-02,0.0,The Hit List,4,2011,R,Spring,Action,-6000000.0,Cuba Gooding Jr.,actor,"[""Jonas Arbor""]"
6000000.0,2011-04-02,0.0,The Hit List,4,2011,R,Spring,Action,-6000000.0,Ginny Weirick,actress,"[""Sydney Campbell""]"
271323.0,2010-01-25,0.0,Countdown to Zero,1,2010,PG,Winter,Documentary,-271323.0,,,
10000000.0,2013-01-03,0.0,Texas Chainsaw 3D,1,2013,R,Winter,Horror,-10000000.0,Tania Raymonde,actress,"[""Nikki""]"
10000000.0,2013-01-03,0.0,Texas Chainsaw 3D,1,2013,R,Winter,Horror,-10000000.0,Alexandra Daddario,actress,"[""Heather Miller""]"
10000000.0,2013-01-03,0.0,Texas Chainsaw 3D,1,2013,R,Winter,Horror,-10000000.0,Scott Eastwood,actor,"[""Carl""]"
10000000.0,2013-01-03,0.0,Texas Chainsaw 3D,1,2013,R,Winter,Horror,-10000000.0,Trey Songz,actor,"[""Ryan""]"
1000000.0,2010-08-31,0.0,Beatdown,8,2010,R,Summer,Adventure,-1000000.0,Danny Trejo,actor,"[""Marcus""]"
1000000.0,2010-08-31,0.0,Beatdown,8,2010,R,Summer,Adventure,-1000000.0,Eric Balfour,actor,"[""Victor Dean""]"
1000000.0,2010-08-31,0.0,Beatdown,8,2010,R,Summer,Adventure,-1000000.0,Rudy Youngblood,actor,"[""Brandon Becker""]"
1000000.0,2010-08-31,0.0,Beatdown,8,2010,R,Summer,Adventure,-1000000.0,Michael Bisping,actor,"[""Drake Colby""]"
2500000.0,2011-04-08,0.0,Good Day for It,4,2011,R,Spring,Action,-2500000.0,Hal Holbrook,actor,"[""Hec""]"
2500000.0,2011-04-08,0.0,Good Day for It,4,2011,R,Spring,Action,-2500000.0,Robert Patrick,actor,"[""Luke Cain""]"
