budget,release_date,revenue,title,month,year,rating,season,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
0.0,2016-08-01,0.0,Le Ride,8,2016,,Summer,Documentary,History,,,,,
0.0,2015-12-25,0.0,The Enemy of My Enemy,12,2015,NR,Holiday,,,,,,,
0.0,2016-09-16,0.0,Longshot... The Biopic of Senator Bernie Sanders Campaign 2016 for POTUS,9,2016,,Fall,,,,,,,
0.0,2016-01-01,0.0,Wheels Over Paradise,1,2016,,Winter,Documentary,,,,,,
0.0,2017-01-01,0.0,The Ice Cream Truck,1,2017,,Winter,Comedy,Horror,Thriller,Mystery,,,
0.0,2016-04-15,0.0,A Fat Wreck,4,2016,NR,Spring,Documentary,Music,,,,,
0.0,2016-01-25,0.0,How To Tell You're A Douchebag,1,2016,,Winter,Romance,Comedy,,,,,
0.0,2018-01-04,0.0,Get Married or Die,1,2018,,Winter,Comedy,Drama,,,,,
0.0,2017-08-18,0.0,Dark Night,8,2017,,Summer,Drama,,,,,,
0.0,2016-06-08,0.0,Love and She,6,2016,,Summer,Drama,Romance,,,,,
0.0,2017-06-30,0.0,Heartbeats,6,2017,PG,Summer,Music,Romance,,,,,
12823507.0,2016-09-29,6101904.0,The Duelist,9,2016,R,Fall,Adventure,Action,Drama,,,,
0.0,2019-01-27,0.0,Sadistic Intentions,1,2019,,Winter,Horror,,,,,,
350000.0,2016-02-18,0.0,Vasos de papel,2,2016,,Winter,Romance,Comedy,,,,,
2900000.0,2016-02-19,17618280.0,Neerja,2,2016,,Winter,Drama,Thriller,,,,,
0.0,2018-02-02,0.0,Acid Horizon,2,2018,,Winter,Documentary,,,,,,
0.0,2016-11-13,0.0,Stalin's Couch,11,2016,,Holiday,Drama,,,,,,
0.0,2018-01-01,0.0,The Sand Dune,1,2018,,Winter,,,,,,,
0.0,2017-11-04,0.0,6:66 PM,11,2017,,Holiday,Comedy,Horror,,,,,
0.0,2017-10-22,0.0,Aquarians,10,2017,,Fall,Drama,,,,,,
0.0,2018-03-16,0.0,Furlough,3,2018,R,Spring,Comedy,,,,,,
0.0,2016-06-21,0.0,Internet Famous,6,2016,,Summer,Comedy,,,,,,
0.0,2018-01-23,0.0,Little Bitches,1,2018,R,Winter,Comedy,Romance,Drama,,,,
0.0,2016-10-30,0.0,Muda,10,2016,,Fall,Drama,,,,,,
0.0,2015-09-02,0.0,Kings Of Cult,9,2015,,Fall,Documentary,,,,,,
0.0,2017-03-03,0.0,Catfight,3,2017,,Spring,Comedy,Drama,,,,,
0.0,2019-10-18,0.0,Eli,10,2019,R,Fall,Horror,,,,,,
0.0,2019-04-28,0.0,Dreamland,4,2019,,Spring,Drama,Thriller,,,,,
50000000.0,2017-12-21,56996304.0,All the Money in the World,12,2017,R,Holiday,Thriller,Drama,Crime,Mystery,,,
0.0,2016-04-07,0.0,Refinery Surveyor Black,4,2016,,Spring,,,,,,,
300.0,2014-02-11,0.0,Damnesia,2,2014,NR,Winter,Drama,,,,,,
